******************************直接定向结果分析******************************
前方交会地面点坐标XYZ：
点号			X						Y						Z
1      -2046866.35156282       4832625.71831716       3612616.86165930
2      -2056450.32898081       4837617.72671808       3601023.67409747
3      -2074178.62336251       4830127.56780815       3601067.01832421
4      -2076698.50077031       4813062.52500757       3621524.01478801
5      -2076621.53270473       4840999.46634741       3584796.68489820
6      -2083346.97303824       4822991.26764516       3604856.07326072
7      -2054386.45431741       4829216.68923052       3612926.68903369
8      -2051379.96143952       4836036.25891430       3605723.97232533
9      -2054387.71130403       4846281.86412582       3590663.41459633
10      -2044144.23049435       4825884.19199386       3622925.83814742
11      -2052834.19458648       4827362.47815423       3616126.92193361
12      -2050624.44353253       4839580.03631600       3601678.10460841
13      -2046211.22206744       4822477.58282770       3626262.43611725
14      -2052292.18142606       4839515.63531031       3600727.25320198
15      -2055719.19795865       4842400.02855544       3596161.58669683
16      -2058160.98605042       4843545.03824371       3592390.47425400
17      -2063281.03348012       4842481.24119612       3590575.47360488
18      -2061907.71063733       4818611.17571619       3622666.14539599
19      -2062322.90157780       4822790.84885300       3617038.17344782
20      -2067054.15411863       4833555.70834170       3601618.93624809
21      -2063111.67453320       4837480.84863738       3597789.27680425
22      -2060688.71383708       4844653.66411844       3589068.24460059
23      -2069761.72371869       4827549.85452542       3606742.59561276
24      -2070349.90230349       4832855.56467031       3600211.85583704
25      -2071462.02815007       4833643.96687844       3597762.26684676
26      -2078674.15492640       4839023.58517986       3586130.58761657
27      -2076013.09465343       4816692.11801584       3617208.22938679
28      -2070724.53557793       4814870.07278624       3622540.15498933
29      -2074246.58967303       4830112.81475635       3601039.85375536
30      -2069496.79832427       4837491.86338390       3593591.84054491
31      -2068589.56508446       4839686.66534312       3591154.71959252
32      -2073827.91672834       4837939.61254968       3590600.05301244
33      -2072323.73126276       4840979.46687675       3587309.76993305
34      -2083061.60431450       4817990.16803620       3611455.02914115
35      -2088925.23307693       4825563.31403313       3598373.79359370
36      -2080426.34647403       4829028.89956329       3598499.28684097
37      -2085686.24512525       4808550.07057971       3622329.10839862
38      -2082371.64263832       4827268.65988987       3599855.47819141
39      -2082035.09636889       4815393.36691057       3615445.31157329
40      -2086616.44448787       4812259.72832635       3616973.70346562
41      -2085829.75176658       4809387.82047911       3621142.75681823
42      -2087984.20959985       4835071.44695013       3585998.75599620
控制点+检核点坐标XYZ：
点号			X						Y						Z
1      -2046866.35156282       4832625.71831716       3612616.86165930
2      -2056450.32898081       4837617.72671808       3601023.67409747
3      -2074178.62336251       4830127.56780815       3601067.01832421
4      -2076698.50077031       4813062.52500757       3621524.01478801
5      -2076621.53270473       4840999.46634741       3584796.68489820
6      -2083346.97303824       4822991.26764516       3604856.07326072
7      -2054386.45431741       4829216.68923052       3612926.68903369
8      -2046866.35156282       4832625.71831716       3612616.86165930
9      -2056450.32898081       4837617.72671808       3601023.67409747
10      -2074178.62336251       4830127.56780815       3601067.01832421
11      -2076698.50077031       4813062.52500757       3621524.01478801
12      -2076621.53270473       4840999.46634741       3584796.68489820
13      -2083346.97303824       4822991.26764516       3604856.07326072
14      -2054386.45431741       4829216.68923052       3612926.68903369
15      -2051315.88712067       4836046.60395449       3605755.68575554
16      -2054320.31624101       4846291.94573380       3590693.82295309
17      -2044073.89752869       4825892.55644553       3622958.46487851
18      -2052768.26863313       4827369.20492503       3616160.14555271
19      -2050561.44291269       4839587.67520084       3601703.27211655
20      -2046144.28394838       4822484.37670833       3626301.33314020
21      -2052224.91467887       4839522.14150065       3600752.09402384
22      -2055653.01892309       4842419.19485788       3596192.58566425
23      -2058098.53009343       4843552.29177525       3592423.16621657
24      -2063218.53821251       4842486.48460134       3590604.55874086
25      -2061841.99418330       4818616.65830978       3622698.49260983
26      -2062258.42392659       4822797.87629823       3617067.29018507
27      -2066981.68526272       4833569.99629089       3601642.10250433
28      -2063051.49499897       4837494.86452887       3597814.93621797
29      -2060622.21802351       4844659.07461983       3589103.28651192
30      -2069695.22256290       4827557.30364008       3606774.39397904
31      -2070285.14025763       4832867.45510625       3600236.74667582
32      -2071393.74944136       4833652.30215505       3597785.62037879
33      -2078609.78082604       4839031.35974132       3586165.78968831
34      -2075947.19403114       4816698.35153960       3617239.87200731
35      -2070660.64908376       4814875.77026110       3622574.01132405
36      -2074177.33620632       4830126.69735922       3601069.61138787
37      -2069430.24190138       4837512.28239546       3593627.75580520
38      -2068525.04413618       4839697.93096075       3591185.57113039
39      -2073763.25223211       4837954.79761478       3590629.17044421
40      -2072256.43756628       4840988.62779354       3587344.44043498
41      -2082995.28273879       4817998.34733901       3611484.79930626
42      -2088857.99939899       4825576.48993065       3598401.32473365
控制点+检核点坐标与前方交会结果比较：
点号			dX						dY						dZ
1             0.00000000             0.00000000             0.00000000
2             0.00000000             0.00000000             0.00000000
3             0.00000000             0.00000000             0.00000000
4             0.00000000             0.00000000             0.00000000
5             0.00000000             0.00000000             0.00000000
6             0.00000000             0.00000000             0.00000000
7             0.00000000             0.00000000             0.00000000
